Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Columbia_300A_SW48_000053_2_p08,Columbia_300A_SW48_000054_3_p08,Columbia_300A_SW48_000055_2_p08,Columbia_300A_SW48_000056_2_p08,Columbia_300A_SW48_000057_2_p08,Columbia_300A_SW48_000058_2_p08,Columbia_300A_SW48_000060_2_p08,Columbia_300A_SW48_000061_2_p08,Columbia_300A_SW48_000062_2_p08,Columbia_300A_SW48_000063_2_p08,Columbia_300A_SW48_000064_2_p08,Columbia_300A_SW48_000065_2_p08,Columbia_300A_SW48_000066_2_p08,Columbia_300A_SW48_000067_2_p08,Columbia_300A_SW48_000051_2_p08,Columbia_300A_SW48_000052_2_p08
572.126108292618,24,33,9,0,1,2,1,0,CHOSP,Lignin,573.133384759498,0.576875314591957,-1,0,0,0,0,0,0,0,0,0,0,0,1876406.8,0,0,0,0
572.126918289375,0,0,0,0,0,0,0,0,,None,573.134194756255,0,-1,0,0,0,0,0,2042977,0,0,0,0,0,0,0,0,0,0
572.133481132641,28,32,6,1,0,2,1,0,CHONSP,Lignin,573.140757599521,0.188532185028071,-1,0,0,1801422.8,0,0,0,0,1881116.3,0,0,2091915.4,0,0,0,0,0
572.134073288573,0,0,0,0,0,0,0,0,,None,573.141349755453,0,-1,0,2204277.8,0,1714888.3,0,0,0,0,0,0,0,0,1727156.9,0,0,1968862.1
572.134746171215,0,0,0,0,0,0,0,0,,None,573.142022638095,0,-1,0,0,0,0,0,0,0,0,0,0,0,1765300.1,0,0,0,0
572.140748008116,27,27,13,1,0,0,0,0,CHON,Lignin,573.148024474996,0.37596605898554,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029277.4
572.141279808587,30,28,5,3,0,1,1,0,CHONSP,Lignin,573.148556275467,0.300008489994758,-1,0,0,0,0,0,0,1946158.5,0,0,0,0,0,0,0,0,0
572.14165627127,30,28,5,3,0,1,1,0,CHONSP,Lignin,573.14893273815,-0.356823921427245,-1,0,0,0,0,0,0,0,0,0,0,0,0,1734836,0,0,0
572.148756811254,32,32,3,1,0,2,1,0,CHONSP,UnsatHC,573.156033278133,0.154426650739398,-1,0,0,0,0,1901949.4,0,0,0,0,0,0,0,0,0,0,0
572.149621448604,30,29,5,2,1,1,1,0,CHONSP,Lignin,573.156897915484,-0.111358485734291,-1,0,0,0,0,0,0,0,0,2030466,0,0,0,0,0,0,0
572.149996971444,0,0,0,0,0,0,0,0,,None,573.157273438324,0,-1,0,0,0,0,0,1838686.4,0,0,0,0,0,0,0,0,0,0
572.162047857238,24,31,15,1,0,0,0,0,CHON,Lignin,573.169324324118,0.0785242346227998,-1,1686255.1,2399856.3,0,2272451.8,1828219.1,2015325,2273324.3,0,2605952.5,1764445.4,0,0,2850481.8,1981054.1,2756886.8,1914586.9
572.162591959413,25,35,10,1,0,2,0,0,CHONS,Lignin,573.169868426293,0.644317552191865,-1,0,0,1853643.8,0,0,0,0,2376215.3,0,0,0,1974187.9,0,0,0,0
572.170169122829,24,32,15,0,1,0,0,0,CHO,Lignin,573.177445589709,0.0516537961243543,-1,0,2018414.8,0,0,0,0,1876523.4,2031638,2122623.8,0,0,1842345.6,2054832.9,0,0,2565338
572.170686688066,27,31,9,3,0,1,0,0,CHONS,Lignin,573.177963154946,0.239270632273912,-1,0,0,1957579,2259650.5,2749817.8,0,0,0,0,0,1768841.6,0,0,2063997.3,2522390,0
572.185255969626,33,36,2,1,0,2,1,0,CHONSP,UnsatHC,573.192532436506,-0.0438622358714434,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757972.8,0
572.185673302614,28,32,12,0,1,0,0,0,CHO,Lignin,573.192949769494,-0.381092080583387,-1,1776619.9,0,0,0,1799543.4,0,0,2273811.5,0,0,0,0,0,0,0,0
